c_id,c_name,rate,c_rate,a_rate,status,c_status,a_status,in
458,Malaysia,0.0941176470588,0.0762086211003,1.235,1.0,1.0,1.0,1
591,Panama,0.752631578947,0.609418282548,1.235,1.0,1.0,1.0,1
214,Dominican Republic,0.138888888889,0.112460638776,1.235,1.0,1.0,1.0,1
152,Chile,0.194736842105,0.157681653527,1.235,1.0,1.0,1.0,1
887,Yemen,0.0,0.0,1.235,0.0,0.0,1.0,1
600,Paraguay,0.0,0.0,1.235,0.0,0.0,1.0,1
156,China,2.54736842105,2.06264649478,1.235,1.0,1.0,1.0,1
450,Madagascar,0.0,0.0,1.235,0.0,0.0,1.0,1
710,South Africa,0.65625,0.531376518219,1.235,0.864197530864,0.864197530864,1.0,1
364,Iran,0.16,0.12955465587,1.235,1.0,1.0,1.0,1
454,Malawi,1.79166666667,1.45074224022,1.235,0.517448856799,0.517448856799,1.0,1
608,Philippines,0.683333333333,0.55330634278,1.235,0.801302931596,0.801302931596,1.0,1
218,Ecuador,0.59375,0.480769230769,1.235,1.0,1.0,1.0,1
50,Bangladesh,1.49444444444,1.21007647323,1.235,0.766381766382,0.766381766382,1.0,1
270,The Gambia,6.4,5.18218623482,1.235,0.975609756098,0.975609756098,1.0,1
116,Cambodia,1.72666666667,1.39811066127,1.235,1.0,1.0,1.0,1
64,Bhutan,2.72222222222,2.20422852002,1.235,1.0,1.0,1.0,1
275,Palestine,0.2,0.161943319838,1.235,1.0,1.0,1.0,1
68,Bolivia,0.0,0.0,1.235,0.0,0.0,1.0,1
231,Ethiopia,1.8625,1.50809716599,1.235,0.985123966942,0.985123966942,1.0,1
84,Belize,0.0,0.0,1.235,0.0,0.0,1.0,1
558,Nicaragua,0.533333333333,0.431848852901,1.235,0.699453551913,0.699453551913,1.0,1
24,Angola,1.21111111111,0.98065677013,1.235,0.401473296501,0.401473296501,1.0,1
818,Egypt,0.164705882353,0.133365086925,1.235,1.0,1.0,1.0,1
690,Seychelles,0.0,0.0,1.235,0.0,0.0,1.0,1
792,Turkey,0.05,0.0404858299595,1.235,0.761904761905,0.761904761905,1.0,1
694,Sierra Leone,0.528571428571,0.427993059572,1.235,0.353503184713,0.353503184713,1.0,1
288,Ghana,1.60714285714,1.3013302487,1.235,0.880626223092,0.880626223092,1.0,1
624,Guinea-Bissau,0.0,0.0,1.235,0.0,0.0,1.0,1
858,Uruguay,0.0388888888889,0.0314889788574,1.235,1.0,1.0,1.0,1
222,El Salvador,0.45,0.364372469636,1.235,0.947368421053,0.947368421053,1.0,1
524,Nepal,3.08571428571,2.4985540775,1.235,1.0,1.0,1.0,1
748,Swaziland,2.53333333333,2.05128205128,1.235,0.966921119593,0.966921119593,1.0,1
320,Guatemala,0.3375,0.273279352227,1.235,0.333333333333,0.333333333333,1.0,1
404,Kenya,0.0,0.0,1.235,0.0,0.0,1.0,1
340,Honduras,1.52631578947,1.23588323034,1.235,1.0,1.0,1.0,1
324,Guinea,3.08125,2.49493927126,1.235,1.0,1.0,1.0,1
400,Jordan,0.15,0.121457489879,1.235,1.0,1.0,1.0,1
328,Guyana,0.0,0.0,1.235,0.0,0.0,1.0,1
170,Colombia,0.0,0.0,1.235,0.0,0.0,1.0,1
360,Indonesia,1.81428571429,1.46905725853,1.235,1.0,1.0,1.0,1
426,Lesotho,1.3,1.05263157895,1.235,0.460992907801,0.460992907801,1.0,1
586,Pakistan,2.57058823529,2.0814479638,1.235,1.0,1.0,1.0,1
854,Burkina Faso,1.77333333333,1.4358974359,1.235,0.747191011236,0.747191011236,1.0,1
144,Sri Lanka,0.573684210526,0.464521627957,1.235,1.0,1.0,1.0,1
894,Zambia,0.0,0.0,1.235,0.0,0.0,1.0,1
508,Mozambique,1.75,1.41700404858,1.235,0.521091811414,0.521091811414,1.0,1
140,Central African Republic,1.275,1.03238866397,1.235,0.490384615385,0.490384615385,1.0,1
562,Niger,1.825,1.47773279352,1.235,0.802197802198,0.802197802198,1.0,1
466,Mali,2.23125,1.80668016194,1.235,0.829268292683,0.829268292683,1.0,1
566,Nigeria,0.0,0.0,1.235,0.0,0.0,1.0,1
462,Maldives,4.01666666667,3.25236167341,1.235,1.0,1.0,1.0,1
120,Cameroon,1.39090909091,1.12624217887,1.235,1.0,1.0,1.0,1
76,Brazil,0.584210526316,0.47304496058,1.235,1.0,1.0,1.0,1
108,Burundi,0.207142857143,0.167727009832,1.235,0.0688836104513,0.0688836104513,1.0,1
384,Côte d'Ivoire,0.0,0.0,1.235,0.0,0.0,1.0,1
764,Thailand,0.56,0.453441295547,1.235,1.0,1.0,1.0,1
242,Fiji,3.88333333333,3.14439946019,1.235,1.0,1.0,1.0,1
388,Jamaica,0.0785714285714,0.0636205899364,1.235,1.0,1.0,1.0,1
484,Mexico,0.227777777778,0.184435447593,1.235,1.0,1.0,1.0,1
188,Costa Rica,0.284210526316,0.230129980823,1.235,1.0,1.0,1.0,1
504,Morocco,0.0,0.0,1.235,0.0,0.0,1.0,1
686,Senegal,1.81,1.46558704453,1.235,1.0,1.0,1.0,1
704,Vietnam,3.12,2.52631578947,1.235,1.0,1.0,1.0,1
834,Tanzania,0.313333333333,0.25371120108,1.235,0.129476584022,0.129476584022,1.0,1
32,Argentina,0.0,0.0,1.235,0.0,0.0,1.0,1
862,Venezuela,0.0,0.0,1.235,0.0,0.0,1.0,1
788,Tunisia,0.24,0.194331983806,1.235,1.0,1.0,1.0,1
604,Peru,0.5,0.404858299595,1.235,1.0,1.0,1.0,1
356,India,1.04375,0.845141700405,1.235,0.676113360324,0.676113360324,1.0,1
768,Togo,2.1,1.7004048583,1.235,0.542635658915,0.542635658915,1.0,1
646,Rwanda,1.03636363636,0.839160839161,1.235,0.30563002681,0.30563002681,1.0,1
478,Mauritania,1.29333333333,1.04723346829,1.235,0.906542056075,0.906542056075,1.0,1
800,Uganda,1.88235294118,1.52417242201,1.235,0.914285714286,0.914285714286,1.0,1
418,Lao PDR,1.3625,1.1032388664,1.235,0.78276481149,0.78276481149,1.0,1
516,Namibia,1.56363636364,1.26610231873,1.235,0.700610997963,0.700610997963,1.0,1
0,Afghanistan,0,0,1.235,0,0,1.0,1
0,Qatar,0,0,1.235,0,0,1.0,1
0,Palau,0,0,1.235,0,0,1.0,1
0,Northern Mariana Islands,0,0,1.235,0,0,1.0,1
0,French Polynesia,0,0,1.235,0,0,1.0,1
0,Solomon Islands,0,0,1.235,0,0,1.0,1
0,Kuwait,0,0,1.235,0,0,1.0,1
0,Saint Lucia,0,0,1.235,0,0,1.0,1
0,São Tomé and Príncipe,0,0,1.235,0,0,1.0,1
0,Mongolia,0,0,1.235,0,0,1.0,1
0,Saint Kitts and Nevis,0,0,1.235,0,0,1.0,1
0,Bahamas,0,0,1.235,0,0,1.0,1
0,Democratic Republic of the Congo,0,0,1.235,0,0,1.0,1
0,Aruba,0,0,1.235,0,0,1.0,1
0,Somalia,0,0,1.235,0,0,1.0,1
0,Suriname,0,0,1.235,0,0,1.0,1
0,Vanuatu,0,0,1.235,0,0,1.0,1
0,Nauru,0,0,1.235,0,0,1.0,1
0,Anguilla,0,0,1.235,0,0,1.0,1
0,Antigua and Barbuda,0,0,1.235,0,0,1.0,1
0,Cook Islands,0,0,1.235,0,0,1.0,1
0,Benin,0,0,1.235,0,0,1.0,1
0,Bahrain,0,0,1.235,0,0,1.0,1
0,Federated States of Micronesia,0,0,1.235,0,0,1.0,1
0,Saudi Arabia,0,0,1.235,0,0,1.0,1
0,Western Sahara,0,0,1.235,0,0,1.0,1
0,Algeria,0,0,1.235,0,0,1.0,1
0,Singapore,0,0,1.235,0,0,1.0,1
0,Tuvalu,0,0,1.235,0,0,1.0,1
0,American Samoa,0,0,1.235,0,0,1.0,1
0,Papua New Guinea,0,0,1.235,0,0,1.0,1
0,Gabon,0,0,1.235,0,0,1.0,1
0,Sudan,0,0,1.235,0,0,1.0,1
0,Eritrea,0,0,1.235,0,0,1.0,1
0,"China, Macao Special Administrative Region",0,0,1.235,0,0,1.0,1
0,Marshall Islands,0,0,1.235,0,0,1.0,1
0,Puerto Rico,0,0,1.235,0,0,1.0,1
0,Netherlands Antilles,0,0,1.235,0,0,1.0,1
0,Republic of Korea,0,0,1.235,0,0,1.0,1
