c_id,c_name,rate,c_rate,a_rate,status,c_status,a_status,in
214,Dominican Republic,9.85,1.31333333333,7.5,0.801,1.3131147541,0.61,1
768,Togo,7.95,1.06,7.5,0.422,0.691803278689,0.61,1
218,Ecuador,16.05,2.14,7.5,0.681,1.11639344262,0.61,1
496,Mongolia,6.15,0.82,7.5,0.27,0.44262295082,0.61,1
24,Angola,4.55,0.606666666667,7.5,0.383,0.627868852459,0.61,1
694,Sierra Leone,9.5,1.26666666667,7.5,0.415,0.680327868852,0.61,1
818,Egypt,5.6,0.746666666667,7.5,0.212,0.347540983607,0.61,1
288,Ghana,9.75,1.3,7.5,0.474,0.777049180328,0.61,1
404,Kenya,10.75,1.43333333333,7.5,0.723,1.18524590164,0.61,1
340,Honduras,4.3,0.573333333333,7.5,0.41,0.672131147541,0.61,1
716,Zimbabwe,19.8,2.64,7.5,0.769,1.2606557377,0.61,1
710,South Africa,12.0,1.6,7.5,0.663,1.0868852459,0.61,1
120,Cameroon,4.05,0.54,7.5,0.408,0.668852459016,0.61,1
262,Djibouti,4.25,0.566666666667,7.5,0.271,0.444262295082,0.61,1
764,Thailand,0.0,0.0,7.5,0.711,1.16557377049,0.61,1
50,Bangladesh,4.7,0.626666666667,7.5,0.31,0.508196721311,0.61,1
418,Lao PDR,2.4,0.32,7.5,0.53,0.868852459016,0.61,1
591,Panama,3.35,0.446666666667,7.5,0.49,0.803278688525,0.61,1
704,Vietnam,6.6,0.88,7.5,0.577,0.945901639344,0.61,1
598,Papua New Guinea,5.05,0.673333333333,7.5,0.683,1.11967213115,0.61,1
706,Somalia,1.7,0.226666666667,7.5,0.074,0.12131147541,0.61,1
192,Cuba,0.0,0.0,7.5,0.95,1.55737704918,0.61,1
270,The Gambia,16.5,2.2,7.5,0.543,0.890163934426,0.61,1
116,Cambodia,1.95,0.26,7.5,0.95,1.55737704918,0.61,1
84,Belize,8.45,1.12666666667,7.5,0.619,1.01475409836,0.61,1
792,Turkey,0.0,0.0,7.5,0.496,0.813114754098,0.61,1
834,Tanzania,3.8,0.506666666667,7.5,0.397,0.650819672131,0.61,1
524,Nepal,5.4,0.72,7.5,0.245,0.401639344262,0.61,1
364,Iran,1.5,0.2,7.5,0.074,0.12131147541,0.61,1
422,Lebanon,0.45,0.06,7.5,0.356,0.583606557377,0.61,1
360,Indonesia,0.1,0.0133333333333,7.5,0.243,0.398360655738,0.61,1
426,Lesotho,3.7,0.493333333333,7.5,0.575,0.94262295082,0.61,1
586,Pakistan,0.65,0.0866666666667,7.5,0.098,0.160655737705,0.61,1
108,Burundi,9.1,1.21333333333,7.5,0.535,0.877049180328,0.61,1
384,Côte d'Ivoire,2.15,0.286666666667,7.5,0.411,0.673770491803,0.61,1
242,Fiji,0.0,0.0,7.5,0.871,1.42786885246,0.61,1
388,Jamaica,4.9,0.653333333333,7.5,0.596,0.977049180328,0.61,1
104,Myanmar,7.45,0.993333333333,7.5,0.321,0.526229508197,0.61,1
32,Argentina,0.0,0.0,7.5,0.786,1.28852459016,0.61,1
788,Tunisia,0.0,0.0,7.5,0.673,1.10327868852,0.61,1
646,Rwanda,2.4,0.32,7.5,0.817,1.3393442623,0.61,1
430,Liberia,9.7,1.29333333333,7.5,0.38,0.622950819672,0.61,1
516,Namibia,8.7,1.16,7.5,0.95,1.55737704918,0.61,1
458,Malaysia,3.6,0.48,7.5,0.366,0.6,0.61,1
624,Guinea-Bissau,7.95,1.06,7.5,0.564,0.924590163934,0.61,1
450,Madagascar,0.55,0.0733333333333,7.5,0.03,0.0491803278689,0.61,1
454,Malawi,10.05,1.34,7.5,0.673,1.10327868852,0.61,1
332,Haiti,5.0,0.666666666667,7.5,0.583,0.955737704918,0.61,1
64,Bhutan,2.1,0.28,7.5,0.237,0.388524590164,0.61,1
178,Democratic Republic of the Congo,10.05,1.34,7.5,0.443,0.726229508197,0.61,1
68,Bolivia,1.3,0.173333333333,7.5,0.153,0.250819672131,0.61,1
174,Comoros,2.0,0.266666666667,7.5,0.19,0.311475409836,0.61,1
170,Colombia,10.3,1.37333333333,7.5,0.458,0.750819672131,0.61,1
854,Burkina Faso,6.45,0.86,7.5,0.566,0.927868852459,0.61,1
858,Uruguay,0.9,0.12,7.5,0.412,0.675409836066,0.61,1
508,Mozambique,5.6,0.746666666667,7.5,0.456,0.747540983607,0.61,1
736,Sudan,0.2,0.0266666666667,7.5,0.078,0.127868852459,0.61,1
504,Morocco,3.35,0.446666666667,7.5,0.372,0.609836065574,0.61,1
562,Niger,3.55,0.473333333333,7.5,0.338,0.554098360656,0.61,1
466,Mali,5.35,0.713333333333,7.5,0.535,0.877049180328,0.61,1
566,Nigeria,2.9,0.386666666667,7.5,0.304,0.498360655738,0.61,1
462,Maldives,0.0,0.0,7.5,0.217,0.355737704918,0.61,1
222,El Salvador,3.9,0.52,7.5,0.721,1.18196721311,0.61,1
862,Venezuela,2.4,0.32,7.5,0.79,1.29508196721,0.61,1
740,Suriname,7.7,1.02666666667,7.5,0.531,0.870491803279,0.61,1
604,Peru,7.15,0.953333333333,7.5,0.605,0.991803278689,0.61,1
152,Chile,3.55,0.473333333333,7.5,0.664,1.08852459016,0.61,1
887,Yemen,2.0,0.266666666667,7.5,0.08,0.131147540984,0.61,1
558,Nicaragua,3.9,0.52,7.5,0.652,1.06885245902,0.61,1
748,Swaziland,9.35,1.24666666667,7.5,0.827,1.35573770492,0.61,1
608,Philippines,10.75,1.43333333333,7.5,0.509,0.834426229508,0.61,1
231,Ethiopia,10.05,1.34,7.5,0.565,0.926229508197,0.61,1
232,Eritrea,2.8,0.373333333333,7.5,0.485,0.795081967213,0.61,1
600,Paraguay,1.55,0.206666666667,7.5,0.694,1.13770491803,0.61,1
320,Guatemala,0.65,0.0866666666667,7.5,0.564,0.924590163934,0.61,1
324,Guinea,7.35,0.98,7.5,0.579,0.949180327869,0.61,1
328,Guyana,4.8,0.64,7.5,0.821,1.34590163934,0.61,1
144,Sri Lanka,2.15,0.286666666667,7.5,0.211,0.345901639344,0.61,1
894,Zambia,0.6,0.08,7.5,0.82,1.34426229508,0.61,1
204,Benin,3.55,0.473333333333,7.5,0.605,0.991803278689,0.61,1
140,Central African Republic,0.0,0.0,7.5,0.223,0.365573770492,0.61,1
148,Chad,0.0,0.0,7.5,0.342,0.560655737705,0.61,1
76,Brazil,5.45,0.726666666667,7.5,0.95,1.55737704918,0.61,1
72,Botswana,2.35,0.313333333333,7.5,0.95,1.55737704918,0.61,1
484,Mexico,1.65,0.22,7.5,0.836,1.37049180328,0.61,1
480,Mauritius,9.4,1.25333333333,7.5,0.374,0.613114754098,0.61,1
800,Uganda,6.45,0.86,7.5,0.539,0.883606557377,0.61,1
478,Mauritania,0.0,0.0,7.5,0.209,0.34262295082,0.61,1
686,Senegal,0.0,0.0,7.5,0.565,0.926229508197,0.61,1
266,Gabon,2.35,0.313333333333,7.5,0.532,0.872131147541,0.61,1
